"reference_id","citation_key","citation_aliases","authors","year","title","publication","volume","issue","pages","doi","hyperlink","formatted_reference","reference_type","metadata_source","source_types","core_criteria","related_criteria","model_applications","glossary_terms","landing_sections","match_status","review_notes"
"root_2003","Root et al. 2003","Root et al. 2003","Root, Terry L., et al.","2003","Fingerprints of Global Warming on Wild Animals and Plants","Nature","421","6918","57–60","10.1038/nature01333","https://doi.org/10.1038/nature01333","Root, Terry L., et al. “Fingerprints of Global Warming on Wild Animals and Plants.” Nature, vol. 421, no. 6918, Jan. 2003, pp. 57–60, https://doi.org/10.1038/nature01333.","journal-article","Zotero bibliography","Core criterion","Prediction 2: Niche stability; Projection 2: Niche stability","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"santini_2021","Santini et al. 2021","Santini et al. 2021","Santini, Luca, et al.","2021","Assessing the Reliability of Species Distribution Projections in Climate Change Research","Diversity and Distributions","27","6","1035–50","10.1111/ddi.13252","https://doi.org/10.1111/ddi.13252","Santini, Luca, et al. “Assessing the Reliability of Species Distribution Projections in Climate Change Research.” Diversity and Distributions, vol. 27, no. 6, 2021, pp. 1035–50, https://doi.org/10.1111/ddi.13252.","journal-article","Zotero bibliography","Related criterion","","Prediction 12: Species data sample size is appropriate; Projection 12: Species data sample size is appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"scherrer_2021","Scherrer et al. 2021","Scherrer et al. 2021","","2021","","","","","","","https://search.crossref.org/?q=Scherrer%20et%20al.%202021","","","Unresolved","Related criterion","","Prediction 11: Species data covers the geographic extent; Projection 11: Species data covers the geographic extent","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"senay_2013","Senay et al. 2013","Senay et al. 2013","Senay, Senait D., et al.","2013","Novel Three-Step Pseudo-Absence Selection Technique for Improved Species Distribution Modelling","PLOS ONE","8","8","1–16","10.1371/journal.pone.0071218","https://doi.org/10.1371/journal.pone.0071218","Senay, Senait D., et al. “Novel Three-Step Pseudo-Absence Selection Technique for Improved Species Distribution Modelling.” PLOS ONE, vol. 8, no. 8, Aug. 2013, pp. 1–16, https://doi.org/10.1371/journal.pone.0071218.","journal-article","Zotero bibliography","Related criterion","","Prediction 28: Background points or pseduo-absences are appropriate; Projection 28: Background points or pseduo-absences are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"seo_2008","Seo et al. 2008","Seo et al. 2008","Seo, Changwan, et al.","2008","Scale Effects in Species Distribution Models: Implications for Conservation Planning under Climate Change","Biology Letters","5","1","39–43","10.1098/rsbl.2008.0476","https://doi.org/10.1098/rsbl.2008.0476","Seo, Changwan, et al. “Scale Effects in Species Distribution Models: Implications for Conservation Planning under Climate Change.” Biology Letters, vol. 5, no. 1, Nov. 2008, pp. 39–43, https://doi.org/10.1098/rsbl.2008.0476.","journal-article","Zotero bibliography","Core criterion","Prediction 16.1: Predictors resolution matches response scale (spatial); Prediction 19: Uncertainty in predictor variables is accounted for; Projection 16.1: Predictors resolution matches response scale (spatial); Projection 19: Uncertainty in predictor variables is accounted for","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"sequeira_2018","Sequeira et al. 2018","Sequeira et al. 2018 | Sequeria et al. 2018","Sequeira, Ana M. M., et al.","2018","Transferring Biodiversity Models for Conservation: Opportunities and Challenges","Methods in Ecology and Evolution","9","5","1250–64","10.1111/2041-210X.12998","https://doi.org/10.1111/2041-210X.12998","Sequeira, Ana M. M., et al. “Transferring Biodiversity Models for Conservation: Opportunities and Challenges.” Methods in Ecology and Evolution, vol. 9, no. 5, May 2018, pp. 1250–64, https://doi.org/10.1111/2041-210X.12998.","journal-article","Zotero bibliography","Related criterion","","Prediction 33: Extrapolation approach is appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"shabani_2016","Shabani et al. 2016","Shabani et al. 2016","","2016","","","","","","","https://search.crossref.org/?q=Shabani%20et%20al.%202016","","","Unresolved","Related criterion","","Prediction 26: Statistical methods and algorithms employed are appropriate; Projection 26: Statistical methods and algorithms employed are appropriate","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"shipley_2021","Shipley et al. 2021","Shipley et al. 2021","","2021","","","","","","","https://search.crossref.org/?q=Shipley%20et%20al.%202021","","","Unresolved","Related criterion","","Prediction 3: No dispersal limitation; Projection 3: No dispersal limitation","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"soley_2024","Soley et al. 2024","Soley et al. 2024","","2024","","","","","","","https://search.crossref.org/?q=Soley%20et%20al.%202024","","","Unresolved","Core criterion; Related criterion","Prediction 7: Correct taxonomic identification; Prediction 8: Lack of spatial positional error; Projection 7: Correct taxonomic identification; Projection 8: Lack of spatial positional error","Prediction 29: Predictor variables are appropriately reduced, if applicable; Prediction 32: Model training and validation datasets are appropriate; Prediction 33: Extrapolation approach is appropriate; Projection 29: Predictor variables are appropriately reduced, if applicable; Projection 32: Model training and validation datasets are appropriate","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"srivastava_2019","Srivastava et al. 2019","Srivastava et al. (2019)","","2019","","","","","","","https://search.crossref.org/?q=Srivastava%20et%20al.%202019","","","Unresolved","Glossary","","","","Model application","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"steen_2024","Steen et al. 2024","Steen et al. 2024","Steen, Bart, et al.","2024","How Sensitive Are Species Distribution Models to Different Background Point Selection Strategies? A Test with Species at Various Equilibrium Levels","Ecological Modelling","493","","110754","10.1016/j.ecolmodel.2024.110754","https://doi.org/10.1016/j.ecolmodel.2024.110754","Steen, Bart, et al. “How Sensitive Are Species Distribution Models to Different Background Point Selection Strategies? A Test with Species at Various Equilibrium Levels.” Ecological Modelling, vol. 493, 2024, p. 110754, https://doi.org/10.1016/j.ecolmodel.2024.110754.","journal-article","Zotero bibliography","Related criterion","","Prediction 28: Background points or pseduo-absences are appropriate; Projection 28: Background points or pseduo-absences are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"stewart_2021","Stewart et al. 2021","Stewart et al. 2021","Stewart, S. B., et al.","2021","Climate Extreme Variables Generated Using Monthly Time-Series Data Improve Predicted Distributions of Plant Species","Ecography","44","4","626–39","10.1111/ecog.05253","https://doi.org/10.1111/ecog.05253","Stewart, S. B., et al. “Climate Extreme Variables Generated Using Monthly Time-Series Data Improve Predicted Distributions of Plant Species.” Ecography, vol. 44, no. 4, 2021, pp. 626–39, https://doi.org/10.1111/ecog.05253.","journal-article","Zotero bibliography","Core criterion","Prediction 16.2: Predictors resolution matches response scale (temporal); Projection 16.2: Predictors resolution matches response scale (temporal)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"stoklosa_2015","Stoklosa et al. 2015","Stoklosa et al. 2015","Stoklosa, Jakub, et al.","2015","A Climate of Uncertainty: Accounting for Error in Climate Variables for Species Distribution Models","Methods in Ecology and Evolution","6","4","412–23","10.1111/2041-210X.12217","https://doi.org/10.1111/2041-210X.12217","Stoklosa, Jakub, et al. “A Climate of Uncertainty: Accounting for Error in Climate Variables for Species Distribution Models.” Methods in Ecology and Evolution, vol. 6, no. 4, 2015, pp. 412–23, https://doi.org/10.1111/2041-210X.12217.","journal-article","Zotero bibliography","Core criterion","Prediction 19: Uncertainty in predictor variables is accounted for; Projection 19: Uncertainty in predictor variables is accounted for","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"strayer_2006","Strayer et al. 2006","Strayer et al. 2006","Strayer, David L., et al.","2006","Understanding the Long-Term Effects of Species Invasions","Trends in Ecology & Evolution","21","11","645–51","10.1016/j.tree.2006.07.007","https://doi.org/10.1016/j.tree.2006.07.007","Strayer, David L., et al. “Understanding the Long-Term Effects of Species Invasions.” Trends in Ecology & Evolution, vol. 21, no. 11, Nov. 2006, pp. 645–51, https://doi.org/10.1016/j.tree.2006.07.007.","journal-article","Zotero bibliography","Related criterion","","Prediction 5: Genotype and phenotype stability; Projection 20: Non-novel conditions","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"suttle_2007","Suttle et al. 2007","Suttle et al. 2007","Suttle, K. B., et al.","2007","Species Interactions Reverse Grassland Responses to Changing Climate","Science","315","5812","640–42","10.1126/science.1136401","https://doi.org/10.1126/science.1136401","Suttle, K. B., et al. “Species Interactions Reverse Grassland Responses to Changing Climate.” Science, vol. 315, no. 5812, 2007, pp. 640–42, https://doi.org/10.1126/science.1136401.","journal-article","Zotero bibliography","Core criterion","Prediction 21.2: Model complexity and structure are appropriate (over fit models); Prediction 4.1: Eltonian noise (positive interactions); Projection 21.2: Model complexity and structure are appropriate (over fit models); Projection 4.1: Eltonian noise (positive interactions)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"syfert_2013","Syfert et al. 2013","Syfert et al. 2013","","2013","","","","","","","https://search.crossref.org/?q=Syfert%20et%20al.%202013","","","Unresolved","Related criterion","","Prediction 22: Biases and noise in species datasets are treated ; Projection 22: Biases and noise in species datasets are treated","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"thibaud_2014","Thibaud et al. 2014","Thibaud et al. 2014","Thibaud, Emeric, et al.","2014","Measuring the Relative Effect of Factors Affecting Species Distribution Model Predictions","Methods in Ecology and Evolution","5","9","947–55","10.1111/2041-210X.12203","https://doi.org/10.1111/2041-210X.12203","Thibaud, Emeric, et al. “Measuring the Relative Effect of Factors Affecting Species Distribution Model Predictions.” Methods in Ecology and Evolution, vol. 5, no. 9, 2014, pp. 947–55, https://doi.org/10.1111/2041-210X.12203.","journal-article","Zotero bibliography","Related criterion","","Prediction 12: Species data sample size is appropriate; Projection 12: Species data sample size is appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"thomas_2024","Thomas et al. 2024","Thomas et al. 2024","","2024","","","","","","","https://search.crossref.org/?q=Thomas%20et%20al.%202024","","","Unresolved","Core criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"tsoar_2007","Tsoar et al. 2007","Tsoar et al. 2007","","2007","","","","","","","https://search.crossref.org/?q=Tsoar%20et%20al.%202007","","","Unresolved","Related criterion","","Prediction 12: Species data sample size is appropriate; Projection 12: Species data sample size is appropriate","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"tulowiecki_2015","Tulowiecki et al. 2015","Tulowiecki et al. 2015","Tulowiecki, Stephen J., et al.","2015","Effects of Positional Error on Modeling Species Distributions: A Perspective Using Presettlement Land Survey Records","Plant Ecology","216","1","67–85","10.1007/s11258-014-0417-9","https://doi.org/10.1007/s11258-014-0417-9","Tulowiecki, Stephen J., et al. “Effects of Positional Error on Modeling Species Distributions: A Perspective Using Presettlement Land Survey Records.” Plant Ecology, vol. 216, no. 1, Jan. 2015, pp. 67–85, https://doi.org/10.1007/s11258-014-0417-9.","journal-article","Zotero bibliography","Core criterion","Prediction 8: Lack of spatial positional error; Projection 8: Lack of spatial positional error","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"tyre_2003","Tyre et al. 2003","Tyre et al. 2003","Tyre, Andrew J., et al.","2003","Improving Precision and Reducing Bias in Biological Surveys: Estimating False-Negative Error Rates","Ecological Applications","13","6","1790–801","10.1890/02-5078","https://doi.org/10.1890/02-5078","Tyre, Andrew J., et al. “Improving Precision and Reducing Bias in Biological Surveys: Estimating False-Negative Error Rates.” Ecological Applications, vol. 13, no. 6, 2003, pp. 1790–801, https://doi.org/10.1890/02-5078.","journal-article","Zotero bibliography","Core criterion","Prediction 14: Perfect detection ; Projection 14: Perfect detection","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"vaclavik_2012","Václavík & Meentemeyer 2012","Václavík & Meentemeyer 2012","Václavík, Tomáš, and Ross K. Meentemeyer.","2012","Equilibrium or Not? Modelling Potential Distribution of Invasive Species in Different Stages of Invasion","Diversity and Distributions","18","1","73–83","10.1111/j.1472-4642.2011.00854.x","https://doi.org/10.1111/j.1472-4642.2011.00854.x","Václavík, Tomáš, and Ross K. Meentemeyer. “Equilibrium or Not? Modelling Potential Distribution of Invasive Species in Different Stages of Invasion.” Diversity and Distributions, vol. 18, no. 1, 2012, pp. 73–83, https://doi.org/10.1111/j.1472-4642.2011.00854.x.","journal-article","Zotero bibliography","Core criterion","Prediction 1: Species-environment equilibrium; Projection 1: Species-environment equilibrium","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"vallecillo_2009","Vallecillo et al. 2009","Vallecillo et al. 2009","","2009","","","","","","","https://search.crossref.org/?q=Vallecillo%20et%20al.%202009","","","Unresolved","Related criterion","","Prediction 6: Understanding the ecological processes driving species distribution and abundances; Projection 6: Understanding the ecological processes driving species distribution and abundances","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"velasquez_tibata_2016","Velásquez-Tibatá et al. 2016","Velásquez-Tibatá et al. 2016","Velásquez-Tibatá, Jorge, et al.","2016","Using Measurement Error Models to Account for Georeferencing Error in Species Distribution Models","Ecography","39","3","305–16","10.1111/ecog.01205","https://doi.org/10.1111/ecog.01205","Velásquez-Tibatá, Jorge, et al. “Using Measurement Error Models to Account for Georeferencing Error in Species Distribution Models.” Ecography, vol. 39, no. 3, 2016, pp. 305–16, https://doi.org/10.1111/ecog.01205.","journal-article","Zotero bibliography","Core criterion","Prediction 19: Uncertainty in predictor variables is accounted for; Projection 19: Uncertainty in predictor variables is accounted for","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"vollering_2019","Vollering et al. 2019","Vollering et al. 2019","Vollering, Julien, et al.","2019","Bunching up the Background Betters Bias in Species Distribution Models","Ecography","42","10","1717–27","10.1111/ecog.04503","https://doi.org/10.1111/ecog.04503","Vollering, Julien, et al. “Bunching up the Background Betters Bias in Species Distribution Models.” Ecography, vol. 42, no. 10, 2019, pp. 1717–27, https://doi.org/10.1111/ecog.04503.","journal-article","Zotero bibliography","Related criterion","","Prediction 22: Biases and noise in species datasets are treated ; Projection 22: Biases and noise in species datasets are treated","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"watling_2015","Watling et al. 2015","Watling et al. 2015","Watling, James I., et al.","2015","Performance Metrics and Variance Partitioning Reveal Sources of Uncertainty in Species Distribution Models","Ecological Modelling","309–310","","48–59","10.1016/j.ecolmodel.2015.03.017","https://doi.org/10.1016/j.ecolmodel.2015.03.017","Watling, James I., et al. “Performance Metrics and Variance Partitioning Reveal Sources of Uncertainty in Species Distribution Models.” Ecological Modelling, vols. 309–310, 2015, pp. 48–59, https://doi.org/10.1016/j.ecolmodel.2015.03.017.","journal-article","Zotero bibliography","Core criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"welk_2004","Welk 2004","Welk 2004","Welk, Erik.","2004","Constraints in Range Predictions of Invasive Plant Species Due to Non-Equilibrium Distribution Patterns: Purple Loosestrife (Lythrum Salicaria) in North America","Ecological Modelling","179","4","551–67","10.1016/j.ecolmodel.2004.04.020","https://doi.org/10.1016/j.ecolmodel.2004.04.020","Welk, Erik. “Constraints in Range Predictions of Invasive Plant Species Due to Non-Equilibrium Distribution Patterns: Purple Loosestrife (Lythrum Salicaria) in North America.” Ecological Modelling, vol. 179, no. 4, 2004, pp. 551–67, https://doi.org/10.1016/j.ecolmodel.2004.04.020.","journal-article","Zotero bibliography","Core criterion","Prediction 1: Species-environment equilibrium; Projection 1: Species-environment equilibrium","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"wesselmann_2021","Wesselmann et al. 2021","Wesselmann et al. 2021","Wesselmann, Marlene, et al.","2021","Warming Threatens to Propel the Expansion of the Exotic Seagrass Halophila Stipulacea","Frontiers in Marine Science","","","","10.3389/fmars.2021.759676","https://doi.org/10.3389/fmars.2021.759676","Wesselmann, Marlene, et al. “Warming Threatens to Propel the Expansion of the Exotic Seagrass Halophila Stipulacea.” Frontiers in Marine Science, Volume 8-2021, 2021, https://doi.org/10.3389/fmars.2021.759676.","journal-article","Zotero bibliography","Core criterion","Projection 2: Niche stability","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"wiens_2009","Wiens et al. 2009","Weins et al. 2009 | Wiens et al. (2009) | Wiens et al. 2009","Wiens, John A., et al.","2009","Niches, Models, and Climate Change: Assessing the Assumptions and Uncertainties","Proceedings of the National Academy of Sciences","106","supplement_2","19729–36","10.1073/pnas.0901639106","https://doi.org/10.1073/pnas.0901639106","Wiens, John A., et al. “Niches, Models, and Climate Change: Assessing the Assumptions and Uncertainties.” Proceedings of the National Academy of Sciences, vol. 106, no. supplement_2, Nov. 2009, pp. 19729–36, https://doi.org/10.1073/pnas.0901639106.","journal-article","Zotero bibliography","Core criterion; Glossary; Related criterion","Prediction 2: Niche stability; Projection 2: Niche stability","Prediction 15: Predictors spatial resolution matches species data; Prediction 17: Predictors are relevant for the species response; Prediction 18: All predictors relevant for the species response are included; Prediction 26: Statistical methods and algorithms employed are appropriate; Prediction 5: Genotype and phenotype stability; Projection 15: Predictors spatial resolution matches species data; Projection 17: Predictors are relevant for the species response; Projection 18: All predictors relevant for the species response are included; Projection 26: Statistical methods and algorithms employed are appropriate","","Assumptions","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"wiens_2010","Wiens et al. 2010","Wiens et al. 2010","Wiens, John A., et al.","2009","Niches, Models, and Climate Change: Assessing the Assumptions and Uncertainties","Proceedings of the National Academy of Sciences","106","supplement_2","19729–36","10.1073/pnas.0901639106","https://doi.org/10.1073/pnas.0901639106","Wiens, John A., et al. “Niches, Models, and Climate Change: Assessing the Assumptions and Uncertainties.” Proceedings of the National Academy of Sciences, vol. 106, no. supplement_2, Nov. 2009, pp. 19729–36, https://doi.org/10.1073/pnas.0901639106.","journal-article","Zotero bibliography","Core criterion","Prediction 16.1: Predictors resolution matches response scale (spatial); Prediction 16.2: Predictors resolution matches response scale (temporal); Projection 16.1: Predictors resolution matches response scale (spatial); Projection 16.2: Predictors resolution matches response scale (temporal)","","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Wiens et al. 2010""; Zotero gives first author ""Wiens"" and publication year 2009. Confirm the author/year and update the source citation if appropriate."
"yates_2018","Yates et al. 2018","Yates et al. 2018","Yates, Katherine L., et al.","2018","Outstanding Challenges in the Transferability of Ecological Models","Trends in Ecology & Evolution","33","10","790–802","10.1016/j.tree.2018.08.001","https://doi.org/10.1016/j.tree.2018.08.001","Yates, Katherine L., et al. “Outstanding Challenges in the Transferability of Ecological Models.” Trends in Ecology & Evolution, vol. 33, no. 10, Oct. 2018, pp. 790–802. ScienceDirect, https://doi.org/10.1016/j.tree.2018.08.001.","journal-article","Zotero bibliography","Core criterion; Related criterion","Projection 34: Model transferability is accurate","Prediction 33: Extrapolation approach is appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"zhang_2023","Zhang et al. 2023","Zhang et al. 2023","","2023","","","","","","","https://search.crossref.org/?q=Zhang%20et%20al.%202023","","","Unresolved","Related criterion","","Prediction 29: Predictor variables are appropriately reduced, if applicable; Projection 29: Predictor variables are appropriately reduced, if applicable","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"zurell_2020","Zurell et al. 2020","Zurell et al. (2020) | Zurrel et al. 2020","Zurell, Damaris, Janet Franklin, et al.","2020","A Standard Protocol for Reporting Species Distribution Models","Ecography","43","9","1261–77","10.1111/ecog.04960","https://doi.org/10.1111/ecog.04960","Zurell, Damaris, Janet Franklin, et al. “A Standard Protocol for Reporting Species Distribution Models.” Ecography, vol. 43, no. 9, 2020, pp. 1261–77. Wiley Online Library, https://doi.org/10.1111/ecog.04960.","journal-article","Zotero bibliography","Glossary; Related criterion","","Prediction 33: Extrapolation approach is appropriate","","Model cycle","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"zurell_2024","Zurell et al. 2024","Zurell et al. 2024","Zurell, Damaris, Katrin Schifferle, et al.","2024","Range and Climate Niche Shifts in European and North American Breeding Birds","Philosophical Transactions of the Royal Society B: Biological Sciences","379","1902","20230013","10.1098/rstb.2023.0013","https://doi.org/10.1098/rstb.2023.0013","Zurell, Damaris, Katrin Schifferle, et al. “Range and Climate Niche Shifts in European and North American Breeding Birds.” Philosophical Transactions of the Royal Society B: Biological Sciences, vol. 379, no. 1902, Apr. 2024, p. 20230013, https://doi.org/10.1098/rstb.2023.0013.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 1: Species-environment equilibrium; Projection 1: Species-environment equilibrium","Prediction 5: Genotype and phenotype stability","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"zuloaga_undated","Zuloaga et al. in prep","Zuloaga et al. in prep","","","","","","","","","https://search.crossref.org/?q=Zuloaga%20et%20al.%20in%20prep","","","Landing page","Landing page","","","","","Overview & Instructions","in_preparation","In-preparation work; no completed Zotero record is expected yet."
"araujo_2006","Araújo & Guisan 2006","Araújo & Guisan 2006","Araújo, Miguel B., and Antoine Guisan.","2006","Five (or so) Challenges for Species Distribution Modelling","Journal of Biogeography","33","10","1677–88","10.1111/j.1365-2699.2006.01584.x","https://doi.org/10.1111/j.1365-2699.2006.01584.x","Araújo, Miguel B., and Antoine Guisan. “Five (or so) Challenges for Species Distribution Modelling.” Journal of Biogeography, vol. 33, no. 10, 2006, pp. 1677–88, https://doi.org/10.1111/j.1365-2699.2006.01584.x.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","Prediction 6: Understanding the ecological processes driving species distribution and abundances; Projection 6: Understanding the ecological processes driving species distribution and abundances","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"araujo_2007","Araújo & Luoto 2007","Araújo & Luoto 2007","Araújo, Miguel B., and Miska Luoto.","2007","The Importance of Biotic Interactions for Modelling Species Distributions under Climate Change","Global Ecology and Biogeography","16","6","743–53","10.1111/j.1466-8238.2007.00359.x","https://doi.org/10.1111/j.1466-8238.2007.00359.x","Araújo, Miguel B., and Miska Luoto. “The Importance of Biotic Interactions for Modelling Species Distributions under Climate Change.” Global Ecology and Biogeography, vol. 16, no. 6, 2007, pp. 743–53, https://doi.org/10.1111/j.1466-8238.2007.00359.x.","journal-article","Zotero bibliography","Core criterion","Prediction 21.2: Model complexity and structure are appropriate (over fit models); Prediction 4.1: Eltonian noise (positive interactions); Projection 21.2: Model complexity and structure are appropriate (over fit models); Projection 4.1: Eltonian noise (positive interactions)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"beale_2012","Beale & Lennon 2012","Beale & Lennon 2012","Beale, Colin M., and Jack J. Lennon.","2012","Incorporating Uncertainty in Predictive Species Distribution Modelling","Philosophical Transactions: Biological Sciences","367","1586","247–58","","https://www.jstor.org/stable/23076314","Beale, Colin M., and Jack J. Lennon. “Incorporating Uncertainty in Predictive Species Distribution Modelling.” Philosophical Transactions: Biological Sciences, vol. 367, no. 1586, 2012, pp. 247–58. JSTOR, https://www.jstor.org/stable/23076314.","journal-article","Zotero bibliography","Core criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"chefaoui_2008","Chefaoui & Lobo 2008","Chefaoui & Lobo 2008","Chefaoui, Rosa M., and Jorge M. Lobo.","2008","Assessing the Effects of Pseudo-Absences on Predictive Distribution Model Performance","Ecological Modelling","210","4","478–86","10.1016/j.ecolmodel.2007.08.010","https://doi.org/10.1016/j.ecolmodel.2007.08.010","Chefaoui, Rosa M., and Jorge M. Lobo. “Assessing the Effects of Pseudo-Absences on Predictive Distribution Model Performance.” Ecological Modelling, vol. 210, no. 4, 2008, pp. 478–86, https://doi.org/10.1016/j.ecolmodel.2007.08.010.","journal-article","Zotero bibliography","Related criterion","","Prediction 28: Background points or pseduo-absences are appropriate; Projection 28: Background points or pseduo-absences are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"erickson_2021","Erickson & Smith 2021","Erickson & Smith 2021","","2021","","","","","","","https://search.crossref.org/?q=Erickson%20%26%20Smith%202021","","","Unresolved","Core criterion","Prediction 14: Perfect detection ; Projection 14: Perfect detection","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"gobeyn_2019","Gobeyn et al. 2019","Gobeyn et al. (2019)","","2019","","","","","","","https://search.crossref.org/?q=Gobeyn%20et%20al.%202019","","","Unresolved","Glossary","","","","Species distribution models (SDMs)","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"godsoe_2012","Godsoe & Harmon 2012","Godsoe & Harmon 2012","Godsoe, William, and Luke J. Harmon.","2012","How Do Species Interactions Affect Species Distribution Models?","Ecography","35","9","811–20","10.1111/j.1600-0587.2011.07103.x","https://doi.org/10.1111/j.1600-0587.2011.07103.x","Godsoe, William, and Luke J. Harmon. “How Do Species Interactions Affect Species Distribution Models?” Ecography, vol. 35, no. 9, 2012, pp. 811–20, https://doi.org/10.1111/j.1600-0587.2011.07103.x.","journal-article","Zotero bibliography","Core criterion","Prediction 21.2: Model complexity and structure are appropriate (over fit models); Prediction 4.1: Eltonian noise (positive interactions); Projection 21.2: Model complexity and structure are appropriate (over fit models); Projection 4.1: Eltonian noise (positive interactions)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"gu_2004","Gu & Swihart 2004","Gu & Swihart 2004","Gu, Weidong, and Robert K. Swihart.","2004","Absent or Undetected? Effects of Non-Detection of Species Occurrence on Wildlife–Habitat Models","Biological Conservation","116","2","195–203","10.1016/S0006-3207(03)00190-3","https://doi.org/10.1016/S0006-3207(03)00190-3","Gu, Weidong, and Robert K. Swihart. “Absent or Undetected? Effects of Non-Detection of Species Occurrence on Wildlife–Habitat Models.” Biological Conservation, vol. 116, no. 2, 2004, pp. 195–203, https://doi.org/10.1016/S0006-3207(03)00190-3.","journal-article","Zotero bibliography","Core criterion","Prediction 14: Perfect detection ; Projection 14: Perfect detection","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
